"Nom, Prénom",mapping,infoIndexationBK_ACA,mapping_OnlyName,mapping_OnlyName_v2,Année,Pays,Section,Groupe,Jury,Œuvre description,Œuvre reproduction,Courrier,Dossier sur l'artiste,Prix,Lieu
"ALTMANN, ROBERTO","altmann, roberto","1963, 1965, 1967",altmann,altmann,1963,France,TE,LETTRISTE,CA,Oui,Oui,Non,Non,Non,ACA
"ALTMANN, ROBERTO","altmann, roberto","1963, 1965, 1967",altmann,altmann,1965,France,TE,LETTRISTE,CA,Oui,Non,Non,Non,Non,ACA
"ALTMANN, ROBERTO","altmann, roberto","1963, 1965, 1967",altmann,altmann,1967,France,TE,LETTRISTE,,Oui,Oui,Non,Non,Non,ACA
"ALVAR, SUNOL","alvar, sunol",,alvar,alvar,1963,France,PEINT,,CA,Oui,Non,Non,Non,Non,ACA
"ALVARADO, ANTONIO","alvarado, antonio",1965,alvarado,alvarado,1965,PANAMA,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"ALVARADO, PEDRO","alvarado, pedro",,alvarado,alvarado,1977,AMERIQUE LATINE,PEINT,ARTE/IDEOLOGIA,,Non,Oui,Oui,Oui,Non,BK
"ALVARES-RIOS, ROBERTO","alvares-rios, roberto",,alvares-rios,alvares-rios,1959,CUBA,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"ALVARES-RIOS, ROBERTO","alvares-rios, roberto",,alvares-rios,alvares-rios,1961,CUBA,PEINT,,,Oui,Non,Non,Non,Non,ACA
"ALVAREZ, EDGAR","alvarez, edgar",,alvarez,alvarez,1977,AMERIQUE LATINE,PEINT,,,Non,Oui,Non,Non,Non,BK
"ALVAREZ, ERNESTO","alvarez, ernesto",1982,alvarez,alvarez,1982,MEXIQUE,CINE/EXP,,,Oui,Non,Non,Oui,Non,ACA
"ALVAREZ, MARC","alvarez, marc",1965,alvarez,alvarez,1965,France,TE,,,Oui,Non,Oui,Non,Non,ACA
"ALVARO, JORGE","alvaro, jorge",1977,alvaro,alvaro,1977,AMERIQUE LATINE,PEINT,,,Non,Oui,Oui,Oui,Non,ACA/BK
"ALVERA, ALESSANDRO","alvera, alessandro",1985,alvera,alvera,1985,AUTRICHE,ARCHI,,,Oui,Oui,Non,Oui,Non,ACA
"ALVES, ARMANDO","alves, armando",1961,alves,alves,1961,PORTUGAL,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"ALVES, JUSTINO","alves, justino",1969,alves,alves,1969,PORTUGAL,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
"ALVESS, MANUEL","alvess, manuel",1969,alvess,alvess,1969,France,TE,,,Oui,Non,Oui,Non,Non,ACA
"ALVIM, FRANCISCO","alvim, francisco",1969,alvim,alvim,1969,PORTUGAL,PHOTO,,,Oui,Non,Non,Oui,Non,ACA
"ALY, AHMED","aly, ahmed",1965,aly,aly,1965,REP. ARABE UNIE,SC,,,Oui,Non,Non,Non,Non,ACA
"AMAMNGUELDIEV, AMAN","amamngueldiev, aman",,amamngueldiev,amamngueldiev,1963,URSS,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"AMANO, KUNIHIRO","amano, kunihiro",1961,amano,amano,1961,JAPON,GV,,,Oui,Non,Non,Non,Non,ACA
"AMAR, MOHAMED","amar, mohamed","1963, 1965",amar,amar,1963,MAROC,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"AMAR, MOHAMED","amar, mohamed","1963, 1965",amar,amar,1965,MAROC,GV,,,Oui,Oui,Non,Non,Non,ACA
"AMBASZ, EMILIO","ambasz, emilio",1985,ambasz,ambasz,1985,ETATS-UNIS,ARCHI,,,Oui,Oui,Oui,Oui,Non,ACA
"AMBAUD, CLAUDE","ambaud, claude",1963,ambaud,ambaud,1963,France,PEINT,,SR,Oui,Oui,Non,Non,Non,ACA
"AMBILLE, PAUL","ambille, paul","1959, 1961, 1963",ambille,ambille,1959,France,PEINT,,JA,Oui,Non,Non,Non,Non,ACA
"AMBILLE, PAUL","ambille, paul","1959, 1961, 1963",ambille,ambille,1961,France,PEINT,,CA,Oui,Non,Non,Non,Non,ACA
"AMBILLE, PAUL","ambille, paul","1959, 1961, 1963",ambille,ambille,1963,France,PEINT,,CA,Oui,Oui,Non,Non,Non,ACA
"AMBROSE, ANNA","ambrose, anna",1980,ambrose,ambrose,1980,GRANDE-BRETAGNE,CINE/EXP,,,Oui,Non,Oui,Oui,Non,ACA/BK
"AMENDOLA VERDIE, JORGE","amendola verdie, jorge",1963,amendola verdie,amendola verdie,1963,URUGUAY,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"AMIARD, BERNARD","amiard, bernard","1971, 1971, 1973",amiard,amiard,1971,France,INTER,,CG,Oui,Oui,Non,Non,Non,ACA
"AMIARD, BERNARD","amiard, bernard","1971, 1971, 1973",amiard,amiard,1971,France,ENVOIS,,,Non,Non,Non,Non,Non,Non identifié
"AMIARD, BERNARD","amiard, bernard","1971, 1971, 1973",amiard,amiard,1973,France,FILM,,,Oui,Non,Non,Oui,Non,ACA
"AMPE-JONAS, THERESE","ampe-jonas, therese",1980,ampe-jonas,ampe-jonas,1980,France,PERF,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"AMUCHASTEGUI, KEPA","amuchastegui, kepa",1967,amuchastegui,amuchastegui,1967,France,SPECTACLE,,,Oui,Non,Non,Oui,Non,ACA
AMUNDI,amundi,,amundi,amundi,1982,ISLANDE,INFO/SON,BRUNI BB,,Non,Non,Non,Non,Non,Non identifié
"AMY, GILBERT","amy, gilbert","1965, 1967",amy,amy,1965,France,COMPO/MUS,,,Oui,Non,Non,Non,Non,ACA
"AMY, GILBERT","amy, gilbert","1965, 1967",amy,amy,1967,France,COMPO/MUS,,,Oui,Non,Non,Non,Oui,ACA
